epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4875.26,1.18832,1.13148,1.24467,0.73885,0.67494,0.7294,0.47096,1.18032,1.07709,1.2631,0.000540037,0.000540037,0.000540037
43,4990.47,1.17662,1.12271,1.23937,0.75523,0.66379,0.74057,0.48466,1.1647,1.04563,1.2507,0.000531038,0.000531038,0.000531038
44,5105.3,1.16757,1.10964,1.2364,0.72272,0.67841,0.73594,0.47522,1.16985,1.05123,1.26014,0.000522039,0.000522039,0.000522039
45,5223.03,1.16881,1.10275,1.23073,0.7372,0.67116,0.73585,0.48146,1.16092,1.0338,1.25189,0.00051304,0.00051304,0.00051304
46,5347.68,1.16331,1.0858,1.22575,0.73378,0.68978,0.73995,0.4811,1.16463,1.03062,1.2577,0.00050404,0.00050404,0.00050404
47,5460.89,1.16235,1.0805,1.22787,0.73448,0.69383,0.74144,0.48438,1.15799,1.03306,1.25581,0.000495041,0.000495041,0.000495041
48,5576.81,1.14921,1.08391,1.2203,0.73008,0.69325,0.74641,0.48603,1.17442,1.02716,1.26219,0.000486042,0.000486042,0.000486042
49,5695.73,1.14522,1.07394,1.21556,0.73973,0.68313,0.74521,0.48848,1.1627,1.0297,1.26129,0.000477043,0.000477043,0.000477043
50,5808.65,1.13514,1.05845,1.20851,0.74733,0.69309,0.7487,0.49249,1.1584,1.01606,1.25917,0.000468044,0.000468044,0.000468044
51,5920.55,1.13959,1.05734,1.21204,0.74177,0.69652,0.75133,0.49601,1.14702,1.01367,1.25036,0.000459045,0.000459045,0.000459045
52,6036.32,1.13493,1.04687,1.2043,0.74003,0.70157,0.75331,0.49457,1.15279,1.01064,1.24599,0.000450046,0.000450046,0.000450046
53,6153.06,1.13036,1.0369,1.20516,0.7398,0.70917,0.75335,0.49171,1.1407,1.00646,1.2449,0.000441047,0.000441047,0.000441047
54,6265.44,1.12657,1.02797,1.20376,0.75616,0.71623,0.7618,0.50172,1.15219,0.98653,1.25443,0.000432048,0.000432048,0.000432048
55,6380.32,1.10937,1.01545,1.19222,0.74838,0.71312,0.76257,0.50155,1.14294,0.9842,1.24802,0.000423049,0.000423049,0.000423049
56,6495.94,1.10179,1.00622,1.19084,0.74851,0.71637,0.76183,0.50284,1.13447,0.9913,1.23745,0.000414049,0.000414049,0.000414049
57,6614.13,1.09628,0.99782,1.19059,0.75737,0.70193,0.75649,0.49767,1.14245,0.99487,1.2494,0.00040505,0.00040505,0.00040505
58,6730.1,1.09695,0.99108,1.187,0.75054,0.72165,0.76201,0.50051,1.144,0.99146,1.24698,0.000396051,0.000396051,0.000396051
59,6846.96,1.08997,0.97856,1.18252,0.74342,0.71272,0.75796,0.49593,1.1457,0.98007,1.24731,0.000387052,0.000387052,0.000387052
60,6962.54,1.08338,0.9731,1.17644,0.77593,0.69758,0.77044,0.50332,1.14305,0.97055,1.24199,0.000378053,0.000378053,0.000378053
61,7077.39,1.07999,0.96564,1.17182,0.75258,0.72253,0.76103,0.50449,1.13485,0.96947,1.24177,0.000369054,0.000369054,0.000369054
62,7193.39,1.08315,0.95908,1.17451,0.74555,0.71045,0.76756,0.50535,1.13194,0.97333,1.24184,0.000360055,0.000360055,0.000360055
63,7311.05,1.07462,0.94977,1.16413,0.74452,0.72491,0.77074,0.51064,1.13409,0.95468,1.24224,0.000351056,0.000351056,0.000351056
64,7427.57,1.05632,0.93313,1.15952,0.76492,0.71345,0.76412,0.50425,1.15113,0.9557,1.25264,0.000342057,0.000342057,0.000342057
65,7544.4,1.05622,0.93215,1.15824,0.75315,0.70673,0.76305,0.50934,1.13318,0.94902,1.23968,0.000333058,0.000333058,0.000333058
66,7661.78,1.06293,0.93425,1.16157,0.7601,0.70825,0.75848,0.50546,1.13345,0.96086,1.23988,0.000324058,0.000324058,0.000324058
67,7777.91,1.03978,0.90928,1.14941,0.75748,0.70121,0.76394,0.5069,1.14049,0.95322,1.25231,0.000315059,0.000315059,0.000315059
68,7894.08,1.03535,0.91214,1.14121,0.7591,0.70493,0.7674,0.51018,1.13948,0.96164,1.25131,0.00030606,0.00030606,0.00030606
69,8011.54,1.0422,0.90786,1.14774,0.77366,0.69054,0.76663,0.50965,1.14375,0.9597,1.24689,0.000297061,0.000297061,0.000297061
70,8128.56,1.03479,0.89619,1.14373,0.73781,0.72415,0.76494,0.51009,1.14111,0.9528,1.2517,0.000288062,0.000288062,0.000288062
71,8247.22,1.01222,0.87994,1.13393,0.74206,0.72643,0.76466,0.50908,1.1386,0.9527,1.25231,0.000279063,0.000279063,0.000279063
72,8365.69,1.02649,0.8859,1.1416,0.74019,0.74719,0.77023,0.51438,1.1385,0.94469,1.24845,0.000270064,0.000270064,0.000270064
73,8482.01,1.01512,0.86467,1.13106,0.7493,0.72901,0.77399,0.5151,1.13721,0.94153,1.25362,0.000261065,0.000261065,0.000261065
74,8598.58,1.01152,0.87207,1.13864,0.76769,0.72699,0.77391,0.51724,1.13245,0.94185,1.2459,0.000252066,0.000252066,0.000252066
75,8715.18,1.00268,0.85415,1.12704,0.76162,0.7337,0.77596,0.51585,1.13509,0.93139,1.24524,0.000243067,0.000243067,0.000243067
76,8831.08,0.98921,0.84481,1.11891,0.78345,0.71589,0.77484,0.51568,1.13502,0.939,1.24928,0.000234068,0.000234068,0.000234068
77,8949.02,0.99896,0.8409,1.12108,0.76379,0.72494,0.77302,0.51412,1.14441,0.93882,1.26243,0.000225068,0.000225068,0.000225068
78,9067.14,0.9866,0.827,1.11617,0.7731,0.73425,0.77836,0.51535,1.14268,0.94145,1.25922,0.000216069,0.000216069,0.000216069
79,9185.27,0.98256,0.82637,1.11399,0.76586,0.72104,0.77787,0.51793,1.13877,0.94092,1.25593,0.00020707,0.00020707,0.00020707
