epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,599.355,1.33893,1.33128,1.25579,0.57994,0.56373,0.56288,0.30512,1.56761,1.54738,1.45895,0.000540037,0.000540037,0.000540037
43,613.327,1.37376,1.39399,1.2753,0.54447,0.54098,0.52447,0.283,1.54396,1.62388,1.44873,0.000531038,0.000531038,0.000531038
44,627.063,1.39085,1.38072,1.30548,0.61119,0.52622,0.54466,0.29341,1.58711,1.60078,1.47583,0.000522039,0.000522039,0.000522039
45,640.942,1.33728,1.31723,1.26289,0.55587,0.56766,0.55468,0.30655,1.55479,1.563,1.46759,0.00051304,0.00051304,0.00051304
46,655.056,1.34006,1.32764,1.25626,0.56569,0.53205,0.53128,0.28275,1.59813,1.659,1.48683,0.00050404,0.00050404,0.00050404
47,669.173,1.30172,1.2869,1.24348,0.58518,0.53308,0.53768,0.29817,1.56653,1.66516,1.46789,0.000495041,0.000495041,0.000495041
48,682.984,1.33806,1.29121,1.26152,0.61498,0.53949,0.56536,0.3112,1.54143,1.57717,1.42912,0.000486042,0.000486042,0.000486042
49,697.331,1.31294,1.26102,1.24811,0.59763,0.59721,0.5842,0.32054,1.52813,1.53375,1.43519,0.000477043,0.000477043,0.000477043
50,711.948,1.30188,1.25323,1.23127,0.60972,0.54883,0.56102,0.30837,1.53791,1.57252,1.45008,0.000468044,0.000468044,0.000468044
51,726.413,1.28843,1.24481,1.23485,0.61516,0.55719,0.57034,0.32064,1.52348,1.58034,1.44343,0.000459045,0.000459045,0.000459045
52,740.686,1.30831,1.28176,1.24149,0.60247,0.54839,0.56815,0.30882,1.54607,1.58275,1.45681,0.000450046,0.000450046,0.000450046
53,754.915,1.25227,1.18632,1.21781,0.58835,0.53938,0.54564,0.3072,1.53259,1.544,1.45292,0.000441047,0.000441047,0.000441047
54,768.295,1.28119,1.20152,1.23484,0.64131,0.54001,0.57394,0.32132,1.53852,1.55911,1.4311,0.000432048,0.000432048,0.000432048
